Id,Mes,Año ,Cantidad
1,1,2020,1538
2,2,2020,1825
3,3,2020,1099
4,4,2020,0
5,5,2020,0
6,6,2020,182
7,7,2020,0
8,8,2020,6
9,9,2020,108
10,10,2020,371
11,11,2020,365
12,12,2020,971
13,1,2021,1071
14,2,2021,1857
15,3,2021,2694
16,4,2021,5865
17,5,2021,4462
18,6,2021,10267
19,7,2021,18813
20,8,2021,25332
21,9,2021,25505
22,10,2021,25904
23,11,2021,7762
24,12,2021,4194
25,1,2022,4702
26,2,2022,4262
27,3,2022,4827
28,4,2022,6134
29,5,2022,13894
30,6,2022,15633
31,7,2022,22822
32,8,2022,31104
33,9,2022,48204
34,10,2022,59773
35,11,2022,16632
36,12,2022,20297
37,1,2023,24634
38,2,2023,24657
39,3,2023,38099
40,4,2023,40297
41,5,2023,38962
42,6,2023,29722
43,7,2023,55387
44,8,2023,81946
45,9,2023,75268
46,10,2023,49256
47,11,2023,37231
48,12,2023,24626
49,1,2024,36001
50,2,2024,37166
51,3,2024,36841
52,4,2024, 29259
53,5,2024,30747
54,6,2024,31049
55,7,2024,20519
